Iteration Agents Items Duration Price_Rise_Steps Tranfer_Steps
80000 2 21 325 1 1
80001 6 40 7631 15 8
80002 19 9 5045 2 3
80003 19 28 96664 37 14
80004 10 12 35153 13 8
80005 17 37 131573 44 18
80006 8 19 6165 9 3
80007 7 23 5781 13 6
80008 7 10 1210 3 3
80009 17 2 281 0 0
80010 4 40 46224 7 9
80011 2 10 514 2 2
80012 3 20 828 3 1
80013 2 19 666 1 1
80014 6 11 1977 4 5
80015 8 3 365 0 0
80016 7 3 330 0 1
80017 6 5 307 0 1
80018 14 30 37722 12 8
80019 15 30 45820 31 17
80020 14 13 6562 6 4
80021 3 20 425 1 1
80022 6 10 616 2 1
80023 8 35 6712 10 7
80024 8 28 49242 9 5
80025 8 14 5189 7 2
80026 5 40 6748 9 9
80027 17 19 29090 10 10
80028 2 16 671 1 1
80029 4 20 5624 7 9
80030 5 40 5663 9 5
80031 5 8 1201 4 3
80032 15 23 35064 12 6
80033 6 15 1026 3 3
80034 19 36 236979 46 25
80035 9 37 3707 6 5
80036 13 23 71048 23 13
80037 9 26 40527 9 8
80038 17 23 14783 13 5
80039 4 7 440 0 1
80040 15 32 113536 22 19
80041 3 21 1040 1 1
80042 16 21 61049 23 18
80043 12 29 36059 21 10
80044 17 39 140215 22 12
80045 1 13 206 0 0
80046 9 15 6856 10 4
80047 18 28 50312 23 17
80048 2 34 658 1 1
80049 6 7 307 0 1
80050 11 6 329 0 0
80051 10 20 38527 12 5
80052 4 20 1020 4 3
80053 1 23 111 0 0
80054 9 14 1187 2 5
80055 10 22 6498 12 13
80056 4 4 238 0 2
80057 13 14 5304 6 6
80058 10 9 46800 0 4
80059 19 13 7704 6 4
80060 10 1 376 0 0
80061 11 24 4331 7 4
80062 19 29 46969 24 7
80063 11 4 1280 0 1
80064 5 11 2478 6 4
80065 19 35 83410 25 12
80066 15 23 105311 16 9
80067 6 7 530 1 1
80068 16 31 60537 24 18
80069 7 4 382 0 1
80070 1 15 131 0 0
80071 15 25 40159 13 8
80072 19 1 451 0 0
80073 5 21 13680 6 5
80074 18 38 87273 27 23
80075 12 24 32963 12 5
80076 19 23 58292 18 14
80077 6 22 4708 11 4
80078 17 22 58524 20 12
80079 18 29 22061 19 10
80080 14 27 90114 34 12
80081 5 17 1842 3 2
80082 3 32 2140 3 3
80083 11 19 1939 2 0
80084 18 9 842 0 0
80085 10 11 5172 1 4
80086 2 10 554 3 2
80087 1 26 213 0 0
80088 4 29 3281 10 6
80089 8 19 41574 11 11
80090 5 24 4041 6 7
80091 6 6 611 1 2
80092 3 8 354 1 1
80093 6 2 160 0 0
80094 4 21 5099 7 5
80095 1 1 56 0 0
80096 20 38 145873 34 22
80097 9 1 382 0 0
80098 20 33 139307 28 15
80099 1 17 149 0 0
80100 8 33 75127 17 12
80101 5 5 375 0 2
80102 7 30 48359 16 12
80103 7 18 2201 5 4
80104 15 2 244 0 0
80105 15 3 286 0 0
80106 15 36 103768 41 20
80107 9 30 12203 22 8
80108 16 8 405 0 0
80109 16 1 298 0 0
80110 5 25 1737 4 5
80111 18 27 109314 25 16
80112 7 13 4549 9 9
80113 3 32 516 1 0
80114 3 11 586 2 1
80115 7 29 8107 9 13
80116 11 2 298 0 0
80117 6 3 197 0 0
80118 11 21 48660 19 8
80119 2 31 6937 2 1
80120 17 33 40158 15 15
80121 14 38 63256 31 11
80122 14 26 116966 18 11
80123 10 7 961 0 1
80124 6 14 1796 4 2
80125 10 9 27808 7 4
80126 5 18 3231 4 4
80127 13 6 1123 0 0
80128 2 32 1113 1 1
80129 18 37 110003 33 20
80130 12 26 16717 12 14
80131 20 30 43976 19 14
80132 1 19 173 0 0
80133 18 34 100307 24 13
80134 12 33 59095 27 25
80135 19 26 49520 22 9
80136 6 15 2878 6 5
80137 7 28 6480 12 11
80138 20 8 1660 1 1
80139 11 7 689 0 1
80140 6 31 939 1 2
80141 17 39 108462 30 16
80142 3 27 787 2 2
80143 9 17 6537 14 13
80144 13 13 52729 10 9
80145 1 19 148 0 0
80146 9 17 2429 4 7
80147 13 38 10050 16 11
80148 6 26 65014 7 7
80149 15 32 11384 12 18
80150 5 16 29598 6 6
80151 13 28 45084 27 21
80152 12 2 446 0 0
80153 12 14 2929 4 3
80154 20 8 4078 0 5
80155 18 26 69396 31 8
80156 6 3 881 0 1
80157 4 39 29773 7 4
80158 12 6 849 0 1
80159 18 3 426 0 0
80160 6 7 1083 3 2
80161 10 19 8591 14 5
80162 1 20 119 0 0
80163 14 32 52386 29 14
80164 13 23 37696 22 8
80165 16 40 53267 22 11
80166 1 28 322 0 0
80167 2 36 1465 2 2
80168 9 11 7613 8 10
80169 14 38 57804 16 4
80170 8 31 7915 16 10
80171 10 24 48192 9 7
80172 13 26 20328 15 11
80173 18 3 459 0 0
80174 13 34 117661 15 9
80175 11 18 12274 16 7
80176 16 37 74853 24 14
80177 10 15 42825 11 5
80178 4 1 129 0 0
80179 17 35 128780 26 26
80180 9 27 42255 19 8
80181 18 21 64608 26 12
80182 18 31 62137 43 10
80183 11 5 1025 1 1
80184 10 6 1117 1 1
80185 19 17 47587 13 6
80186 20 39 184995 69 34
80187 15 30 148534 34 20
80188 2 20 945 1 1
80189 18 33 58364 29 12
80190 14 19 47988 20 7
80191 13 40 55769 21 35
80192 1 22 248 0 0
80193 18 9 3734 2 3
80194 17 1 309 0 0
80195 7 24 40290 19 11
80196 3 21 656 1 0
80197 19 6 922 0 0
80198 20 34 59240 34 12
80199 20 10 41219 1 3
80200 17 30 62956 25 13
80201 14 6 1141 0 2
80202 4 21 723 2 2
80203 2 31 2782 4 4
80204 19 22 10285 13 7
80205 19 27 164267 23 20
80206 6 26 6987 11 8
80207 12 11 8221 9 7
80208 8 17 80199 11 6
80209 6 40 7399 8 7
80210 2 9 640 1 1
80211 2 28 5386 4 3
80212 20 26 51146 23 13
80213 12 27 28927 18 14
80214 6 4 211 0 0
80215 2 22 348 0 0
80216 9 25 7450 11 3
80217 6 4 1023 0 3
80218 18 18 54831 23 15
80219 2 11 705 1 1
80220 4 30 2536 6 6
80221 20 18 25719 15 9
80222 20 37 76277 26 24
80223 3 29 28442 8 6
80224 13 31 47625 25 13
80225 5 23 5626 9 9
80226 15 6 698 0 0
80227 15 8 3493 1 3
80228 10 3 239 0 0
80229 18 37 93262 37 14
80230 7 14 7150 10 4
80231 9 40 82249 15 20
80232 12 34 43067 28 17
80233 17 40 58815 25 13
80234 2 32 1262 4 4
80235 2 13 115 0 0
80236 15 7 1077 1 2
80237 10 12 3019 6 8
80238 5 17 2887 7 7
80239 7 36 45311 9 11
80240 15 30 12284 12 13
80241 5 21 20290 6 5
80242 6 24 8676 13 9
80243 12 31 50308 25 14
80244 15 28 48024 25 12
80245 16 16 7291 10 11
80246 9 1 189 0 0
80247 14 6 1939 0 2
80248 10 26 45490 24 7
80249 6 5 479 0 3
80250 16 33 98350 28 10
80251 3 23 1310 4 2
80252 4 8 536 1 2
80253 15 40 66849 17 6
80254 6 22 4901 8 8
80255 7 10 1483 4 2
80256 10 39 59572 12 8
80257 1 36 360 0 0
80258 7 11 1795 2 3
80259 1 40 422 0 0
80260 14 11 6167 9 4
80261 11 20 38648 15 8
80262 4 35 3793 6 4
80263 12 4 513 0 0
80264 18 15 43216 12 6
80265 16 24 12711 15 8
80266 16 25 60454 27 10
80267 1 27 115 0 0
80268 20 1 224 0 0
80269 8 13 1967 7 4
80270 9 1 141 0 0
80271 5 28 62571 6 6
80272 19 23 13501 13 6
80273 3 16 417 1 1
80274 15 16 32090 11 12
80275 12 33 54199 29 20
80276 9 32 8522 15 9
80277 13 39 141005 36 25
80278 7 27 2147 5 5
80279 4 13 819 3 2
80280 7 29 40614 10 9
80281 20 35 151577 55 16
80282 6 12 733 2 2
80283 8 35 79873 15 7
80284 20 19 50435 25 9
80285 16 7 2418 2 1
80286 6 7 935 2 2
80287 8 12 635 0 1
80288 14 39 50352 18 13
80289 10 16 10549 13 7
80290 10 2 249 0 0
80291 15 29 64215 26 14
80292 4 25 662 1 1
80293 16 10 43971 7 3
80294 2 30 477 0 0
80295 1 32 404 0 0
80296 5 34 6236 5 8
80297 12 6 336 0 0
80298 1 40 216 0 0
80299 4 1 122 0 0
80300 19 40 75631 28 14
80301 5 26 1323 3 2
80302 8 11 2235 5 4
80303 2 18 61220 1 1
80304 15 8 2896 1 2
80305 4 20 2648 5 2
80306 3 18 386 0 0
80307 19 11 11197 6 5
80308 11 8 938 1 4
80309 10 38 36301 19 10
80310 5 23 3216 6 7
80311 12 16 3769 8 4
80312 15 1 296 0 0
80313 13 27 51394 16 19
80314 20 38 126477 33 23
80315 11 12 3387 8 4
80316 8 26 11443 13 12
80317 17 24 63399 16 11
80318 13 31 40590 15 11
80319 2 13 535 1 0
80320 1 37 347 0 0
80321 15 26 42215 17 8
80322 18 25 20777 20 8
80323 7 14 1225 2 3
80324 7 32 54539 19 15
80325 4 14 1622 5 4
80326 4 24 2901 7 7
80327 13 14 44597 14 11
80328 19 37 208213 44 29
80329 6 34 54132 8 9
80330 12 2 408 0 0
80331 3 14 347 0 0
80332 17 2 1114 0 1
80333 19 12 8154 4 3
80334 2 1 148 0 0
80335 10 31 6888 11 5
80336 6 31 4060 4 4
80337 14 1 332 0 0
80338 17 12 39632 7 8
80339 3 7 1463 3 2
80340 5 30 2897 8 6
80341 6 22 2540 6 2
80342 12 21 47804 11 5
80343 1 22 246 0 0
80344 17 20 52255 22 13
80345 3 33 1932 3 2
80346 19 40 89986 27 15
80347 16 21 50501 6 14
80348 6 35 4113 8 8
80349 12 13 4129 7 4
80350 6 35 6696 10 6
80351 1 29 179 0 0
80352 19 33 93302 29 14
80353 13 4 1040 0 3
80354 7 31 6813 10 5
80355 17 4 1981 1 1
80356 6 5 3457 2 2
80357 2 16 2040 3 2
80358 4 29 1708 3 3
80359 18 17 90307 19 7
80360 15 25 36582 16 10
80361 17 17 13849 16 6
80362 11 37 104438 21 18
80363 20 18 54469 10 6
80364 7 29 6544 12 8
80365 1 39 223 0 0
80366 13 20 68688 14 11
80367 19 34 70490 23 10
80368 6 1 120 0 0
